[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_12.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_38.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_10.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_11.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_39.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_34.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_20.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_21.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_35.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_23.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_37.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_36.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_22.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_26.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_32.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_33.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_27.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_19.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_31.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_25.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_24.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_30.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_18.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_9.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_94.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_80.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_57.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_43.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_42.txt 
