[2023-09-25 02:08:36] [信息     ] 
The file server is started successfully. port: 9001 
[2023-09-25 02:09:08] [信息     ] send stream to 127.0.0.1:54776 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_74.txt ,fileSize= 1024 
[2023-09-25 02:09:08] [信息     ] send stream to 127.0.0.1:59142 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_5.txt ,fileSize= 1024 
[2023-09-25 02:09:08] [信息     ] send stream to 127.0.0.1:58373 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_55.txt ,fileSize= 1024 
[2023-09-25 02:09:09] [信息     ] send stream to 127.0.0.1:59153 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_35.txt ,fileSize= 1024 
[2023-09-25 02:09:09] [信息     ] send stream to 127.0.0.1:51324 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_45.txt ,fileSize= 1024 
[2023-09-25 02:09:09] [信息     ] send stream to 127.0.0.1:65242 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_85.txt ,fileSize= 1024 
[2023-09-25 02:09:09] [信息     ] send stream to 127.0.0.1:58469 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_95.txt ,fileSize= 1024 
[2023-09-25 02:09:09] [信息     ] send stream to 127.0.0.1:57853 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_15.txt ,fileSize= 1024 
[2023-09-25 02:09:10] [信息     ] send stream to 127.0.0.1:60681 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_65.txt ,fileSize= 1024 
[2023-09-25 02:09:10] [信息     ] send stream to 127.0.0.1:57915 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_25.txt ,fileSize= 1024 
[2023-09-25 02:09:10] [信息     ] send stream to 127.0.0.1:50647 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_75.txt ,fileSize= 1024 
[2023-09-25 02:09:10] [信息     ] send stream to 127.0.0.1:52202 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_6.txt ,fileSize= 1024 
[2023-09-25 02:09:10] [信息     ] send stream to 127.0.0.1:60974 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_56.txt ,fileSize= 1024 
[2023-09-25 02:09:11] [信息     ] send stream to 127.0.0.1:51434 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_36.txt ,fileSize= 1024 
