File,LookUp Start Time,LookUp End Time,LookUp Elapsed Time (ms),Download Start Time,Download End Time,Download Elapsed Time (ms),Total Elapsed Time (ms)
text_kb_18.txt,1695576439929,1695576439933,4,1695576441810,1695576442018,208,212
text_kb_58.txt,1695576440140,1695576440145,5,1695576442018,1695576442225,207,212
text_kb_79.txt,1695576440351,1695576440355,4,1695576442226,1695576442436,210,214
text_kb_99.txt,1695576440558,1695576440561,3,1695576442436,1695576442641,205,208
text_kb_69.txt,1695576440766,1695576440771,5,1695576442642,1695576442852,210,215
text_kb_29.txt,1695576440976,1695576440986,10,1695576442852,1695576443062,210,220
text_kb_39.txt,1695576441187,1695576441190,3,1695576443062,1695576443270,208,211
text_kb_9.txt,1695576441393,1695576441396,3,1695576443270,1695576443478,208,211
text_kb_49.txt,1695576441602,1695576441605,3,1695576443478,1695576443687,209,212
text_kb_89.txt,1695576441810,1695576441815,5,1695576443688,1695576443896,208,213
text_kb_19.txt,1695576442018,1695576442020,2,1695576443896,1695576444105,209,211
text_kb_59.txt,1695576442226,1695576442230,4,1695576444105,1695576444315,210,214
text_kb_80.txt,1695576442436,1695576442441,5,1695576444315,1695576444525,210,215
text_kb_100.txt,1695576442642,1695576442645,3,1695576444525,1695576444732,207,210
text_kb_70.txt,1695576442852,1695576442856,4,1695576444733,1695576444943,210,214
text_kb_30.txt,1695576443062,1695576443064,2,1695576444944,1695576445153,209,211
text_kb_40.txt,1695576443270,1695576443273,3,1695576445153,1695576445362,209,212
text_kb_10.txt,1695576443479,1695576443484,5,1695576445362,1695576445571,209,214
text_kb_50.txt,1695576443688,1695576443692,4,1695576445571,1695576445780,209,213
text_kb_90.txt,1695576443896,1695576443901,5,1695576445780,1695576445991,211,216
text_kb_20.txt,1695576444105,1695576444109,4,1695576445991,1695576446201,210,214
text_kb_60.txt,1695576444315,1695576444319,4,1695576446201,1695576446409,208,212
